candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
2261,2261.0,False,2261,2261.0,5,3547,True,0.4696051324237195,0.7231216773475786,4.3504132061583885e-27,-10.77847433055039,False,
2261,2261.0,False,2261,2261.0,10,1773,True,0.5965506462118684,0.5293673453334085,1.0055855221590942e-14,-7.738548042332383,False,
2261,2261.0,False,2261,2261.0,20,886,True,0.9918383298437856,0.010229314985441973,1.5462009276711604e-08,-5.6563565507278355,False,
2261,2261.0,False,2261,2261.0,40,443,True,0.887608551588674,0.1413308852466381,2.197848172347863e-05,-4.243781036087688,False,
2394,2394.0,False,2394,2394.0,2,8803,True,0.9585328378904845,0.05199479864405507,2.2688509834084834e-29,-11.25181098737465,False,
2394,2394.0,False,2394,2394.0,5,3521,True,0.9402528699308499,0.07495204138511617,1.126091931860522e-29,-11.313422773860777,False,
2394,2394.0,False,2394,2394.0,10,1760,True,0.9832480205284284,-0.020997035444122302,3.9426376504423704e-16,-8.140311023680182,False,
2394,2394.0,False,2394,2394.0,20,880,True,0.8674978918383977,0.16683752493183404,3.925336829955865e-09,-5.887309302016467,False,
2394,2394.0,False,2394,2394.0,40,440,True,0.5602529340721893,0.5824658553837831,1.7961616780005693e-05,-4.288830757998586,False,
2527,2527.0,False,2527,2527.0,2,8736,True,0.9234097255927167,0.09613956865983304,1.5491533433767132e-30,-11.486119655905819,False,
2527,2527.0,False,2527,2527.0,5,3494,True,0.44995287056573585,0.7554936006624989,1.826298622893385e-27,-10.858038492040443,False,
2527,2527.0,False,2527,2527.0,10,1747,True,0.6802889455699321,0.41206886915516777,9.026681392846952e-15,-7.75226633749462,False,
2527,2527.0,False,2527,2527.0,20,873,True,0.7356813311100878,0.3375778570281104,1.8112579715022468e-08,-5.629125291669086,False,
2527,2527.0,False,2527,2527.0,40,436,True,0.8732374459792677,0.15954761677772702,2.7571684822479958e-05,-4.192648197592023,False,
2660,2660.0,False,2660,2660.0,2,8670,True,0.9427929227951438,0.07175997900973322,6.09888299680462e-28,-10.957762171750037,False,
2660,2660.0,False,2660,2660.0,5,3468,True,0.40564864457814254,0.8315754137411443,1.699956859326425e-27,-10.86458425557927,False,
2660,2660.0,False,2660,2660.0,10,1734,True,0.4871844945434328,0.6947938633061905,8.042606902909739e-15,-7.766906653647565,False,
2660,2660.0,False,2660,2660.0,20,867,True,0.6735509448584673,0.42127957261682875,2.1649537963346383e-08,-5.598274811140021,False,
2660,2660.0,False,2660,2660.0,40,433,True,0.5136683281849734,0.6531364301342303,2.085594897550741e-05,-4.255524536900025,False,
2793,2793.0,False,2793,2793.0,2,8603,True,0.950665738615475,0.06187077807802036,1.6387190713099046e-34,-12.252015526908309,False,
2793,2793.0,False,2793,2793.0,5,3441,True,0.6488683251781506,0.45533489553981704,7.609650808556092e-31,-11.547389833816332,False,
2793,2793.0,False,2793,2793.0,10,1720,True,0.8395948253459502,0.2024117730254367,1.258478738677889e-16,-8.277443440825257,False,
2793,2793.0,False,2793,2793.0,20,860,True,0.8134982696023432,0.23591546240456382,2.0484641578911813e-09,-5.993916632468195,False,
2793,2793.0,False,2793,2793.0,40,430,True,0.8193442266664128,0.22838850287200332,1.2069603977523703e-05,-4.376326753562063,False,
2926,2926.0,False,2926,2926.0,2,8537,True,0.9668592934104531,0.041547666317839065,4.989889326381199e-34,-12.161395540701875,False,
2926,2926.0,False,2926,2926.0,5,3414,True,0.5135166011156042,0.6533718204702771,2.192740119687894e-33,-12.039880138154592,False,
2926,2926.0,False,2926,2926.0,10,1707,True,0.5068166402091876,0.6638026331021212,7.30856617882712e-18,-8.609960645523529,False,
